customer_id,email,signup_date,country_code,marketing_opt_in
1,frank.garcia@gmail.com,2023-03-16,FR,True
2,patricia anderson@gmail.com,2023-08-08,US,True
3,larry.davisgmail.com,2024-07-18,AU,True
4,patrick.smith@jaffle.co,2024-10-04,SE,True
5,patrick.anderson@yahoo.com,2023-02-17,SE,True
6,tracy.davisgmail.com,2024-08-07,GB,True
7,jennifer.anderson@yahoo.com,2024-01-17,US,True
8,patrick.brown@outlook.com,2024-11-27,SE,False
9,frank.miller@outlook.com,2024-01-06,GB,True
10,travis.thomas@gmail.com,2024-08-11,GB,False
11,frank.thomas@company.com,2023-03-16,US,False
12,travis.hernandez@outlook.com,2024-03-07,US,True
13,robert.anderson@hotmail.com,2023-12-15,DE,False
14,jose.miller@outlook.com,2023-03-12,FR,True
15,sandra.miller@gmail.com,2023-03-04,DE,False
16,mark.anderson@outlook.com,2023-10-19,DE,False
17,wendy.jones@gmail.,2023-12-30,CA,True
18,joseph.brown@hotmail.com,2023-05-13,DE,True
19,hilda.davis@outlook.com,2023-03-24,CA,False
20,hilda.wilson@yahoo.com,2024-03-16,FR,False
21,donna.davis@jaffle.co,2024-01-25,CA,True
22,kathleen.garcia@jaffle.co,2023-08-27,US,False
23,patrick.garcia@gmail.com,2023-05-30,AU,False
24,jose.anderson@yahoo.com,2024-06-11,SE,True
25,nancy.martin@jaffle.co,2024-07-26,AU,False
26,hilda.davis@gmail,2024-02-15,US,True
27,kathleen.johnson@gmail.com,2023-12-15,SE,True
28,jennifer.brown@company.com,2023-04-14,GB,True
29,kathleen.moore@outlook.com,2023-06-02,DE,False
30,patricia.anderson@gmail.com,2023-04-29,FR,False
31,nancy.miller@gmail.com,2023-05-28,US,False
32,susan.williams@jaffle.co,2023-06-15,SE,True
33,eric.wilson@jaffle.co,2024-07-10,US,False
34,mark@@company.com,2024-01-11,CA,False
35,rita.wilson@company.com,2023-12-04,DE,True
36,jose.hernandez@yahoo.com,2023-09-03,FR,False
37,susan.hernandez@company.com,2024-05-19,GB,True
38,michael.hernandez@hotmail.com,2023-07-18,DE,False
39,nancy.hernandez@hotmail.com,2024-01-09,US,True
40,jennifer.johnson@hotmail.com,2023-07-29,AU,True
41,joseph.martin@jaffle.co,2023-03-28,FR,True
42,hilda.hernandez@yahoo.com,2024-05-04,CA,False
43,mark.jones@gmail,2024-02-10,AU,False
44,susan.smith@yahoo.com,2023-05-11,US,True
45,patrick.martin@jaffle.co,2023-05-30,SE,False
46,wendy.martin@company.com,2024-07-15,CA,True
47,michael.hernandez@jaffle.co,2023-04-16,SE,True
48,larry.moore@yahoo.com,2023-01-29,GB,True
49,tracy.wilson@company.com,2023-11-30,GB,False
50,cherry.brown@hotmail.com,2024-04-14,DE,False
51,tony.garcia@company.com,2024-06-06,US,False
52,travis.anderson@,2023-06-26,CA,False
53,jose.thomasgmail.com,2023-11-30,DE,False
54,jennifer.martin@yahoo.com,2023-07-15,GB,True
55,jennifer.wilson@gmail.com,2023-03-06,AU,False
56,jose.wilson@yahoo.com,2023-10-11,AU,False
57,tony.johnson@hotmail.com,2024-07-26,CA,False
58,cherry.davis@gmail.,2023-11-20,US,True
59,larry.smith@hotmail.com,2023-05-06,FR,True
60,donna.taylor@yahoo.com,2023-09-17,CA,False
61,rita.thomas@outlook.com,2024-05-13,CA,True
62,travis.thomas@company.com,2024-02-18,GB,False
63,eric.jones@jaffle.co,2024-01-10,US,False
64,robert.miller@gmail.com,2024-01-29,GB,False
65,tony.smith@,2023-04-18,US,False
66,sandra.brown@yahoo.com,2023-10-04,FR,True
67,larry.moore@hotmail.com,2024-02-20,CA,False
68,donna.jonesgmail.com,2023-07-07,AU,True
69,sandra.brown@hotmail.com,2023-03-27,SE,True
70,kathleen.williams@outlook.com,2023-01-12,GB,False
71,sandra anderson@gmail.com,2023-09-02,US,True
72,sandra.brown@hotmail.com,2024-10-05,GB,True
73,tracy.miller@yahoo.com,2023-10-05,GB,True
74,sandra.brown@gmail,2024-06-01,SE,True
75,tony.miller@outlook.com,2023-04-19,DE,False
76,wendy.miller@outlook.com,2024-06-02,GB,True
77,rita.jones@jaffle.co,2024-10-13,CA,False
78,patricia.brown@gmail.com,2023-03-14,DE,False
79,larry.garcia@gmail,2024-01-26,FR,False
80,jose.johnson@gmail.com,2024-04-15,CA,True
81,sandra@@hotmail.com,2024-07-14,GB,True
82,shawn.martin@hotmail.com,2023-07-07,US,False
83,hilda.smith@company.com,2024-11-02,CA,True
84,tony@@gmail.com,2023-05-28,AU,True
85,hilda.brown@jaffle.co,2023-08-27,US,True
86,wendy.martin@company.com,2024-02-03,FR,False
87,susan.miller@gmail,2024-09-25,DE,True
88,shawn.moore@company.com,2024-10-04,AU,True
89,tony.hernandez@gmail.com,2024-08-21,FR,True
90,kathleen.brown@gmail,2024-01-05,US,False
91,nancy.wilsongmail.com,2024-10-03,SE,True
92,joseph.williamsgmail.com,2024-05-30,SE,True
93,wendy.wilson@gmail,2024-04-30,GB,True
94,sandra.johnson@yahoo.com,2023-08-25,DE,False
95,joseph.moore@outlook.com,2024-12-01,GB,True
96,jose.taylor@gmail.com,2024-09-06,CA,False
97,sandra.taylor@hotmail.com,2024-09-28,SE,True
98,michael@@jaffle.co,2023-04-12,DE,True
99,wendy.miller@company.com,2023-10-20,AU,False
